Rank,Team,G,Rush,Rush Yds,Yds/Rush,Rush TD,YPG
1,Georgia Tech,2,135,745,5.52,8,372.5
2,Army West Point,3,171,1094,6.40,12,364.7
3,Tulsa,3,200,1091,5.46,16,363.7
4,UNLV,2,96,701,7.30,7,350.5
5,Notre Dame,3,132,992,7.52,13,330.7
6,Arizona,3,151,984,6.52,13,328.0
7,Air Force,2,116,641,5.53,7,320.5
8,Miami (FL),1,34,317,9.32,2,317.0
9,Maryland,2,79,630,7.97,10,315.0
10,Navy,2,120,610,5.08,7,305.0
11,Mississippi St.,3,138,893,6.47,8,297.7
12,Oregon,3,161,856,5.32,18,285.3
13,South Fla.,3,189,844,4.47,8,281.3
14,Wisconsin,3,148,826,5.58,8,275.3
15,Michigan St.,2,95,511,5.38,4,255.5
16,UAB,3,154,764,4.96,10,254.7
17,Texas A&M;,3,150,756,5.04,9,252.0
18,Clemson,3,127,746,5.87,12,248.7
19,Ohio St.,3,117,729,6.23,7,243.0
20,San Diego St.,3,144,726,5.04,5,242.0
21,Tulane,3,159,724,4.55,7,241.3
22,Duke,3,157,722,4.60,10,240.7
23,Memphis,2,76,481,6.33,4,240.5
24,Alabama,3,120,717,5.98,7,239.0
25,Wake Forest,3,156,697,4.47,7,232.3
26,Hawaii,3,126,692,5.49,6,230.7
27,Kansas St.,3,117,691,5.91,8,230.3
-,TCU,3,127,691,5.44,8,230.3
29,Georgia,3,141,690,4.89,7,230.0
30,Toledo,3,134,654,4.88,7,218.0
31,LSU,3,132,651,4.93,8,217.0
32,Minnesota,3,156,643,4.12,9,214.3
33,West Virginia,3,117,636,5.44,7,212.0
34,New Mexico,3,128,633,4.95,5,211.0
35,Stanford,3,84,631,7.51,8,210.3
36,Ohio,3,133,617,4.64,11,205.7
-,North Texas,3,104,617,5.93,7,205.7
38,Southern California,3,119,610,5.13,8,203.3
39,Virginia Tech,3,135,602,4.46,6,200.7
40,Oklahoma St.,3,109,599,5.50,7,199.7
41,Michigan,3,128,598,4.67,2,199.3
42,Fla. Atlantic,3,117,585,5.00,5,195.0
-,Rutgers,3,126,585,4.64,8,195.0
44,Louisiana,3,106,581,5.48,9,193.7
-,Rice,3,122,581,4.76,4,193.7
-,Syracuse,3,134,581,4.34,7,193.7
47,UTSA,2,84,387,4.61,3,193.5
48,Louisville,3,104,574,5.52,4,191.3
49,Texas,3,125,572,4.58,7,190.7
50,Penn St.,3,82,561,6.84,8,187.0
51,Ball St.,3,128,559,4.37,7,186.3
52,Kent St.,3,141,555,3.94,3,185.0
53,UConn,2,78,367,4.71,4,183.5
54,Utah,3,123,548,4.46,6,182.7
55,Arkansas,2,76,365,4.80,4,182.5
56,La.-Monroe,2,86,364,4.23,4,182.0
57,Missouri,3,102,542,5.31,3,180.7
-,Charlotte,3,109,542,4.97,2,180.7
59,Iowa,3,141,540,3.83,3,180.0
60,Southern Miss.,3,130,536,4.12,3,178.7
61,Auburn,3,138,535,3.88,6,178.3
62,Appalachian St.,3,108,526,4.87,4,175.3
63,Troy,3,102,523,5.13,8,174.3
64,Purdue,3,115,519,4.51,4,173.0
65,Colorado St.,4,154,691,4.49,6,172.8
66,Western Mich.,3,126,514,4.08,5,171.3
67,California,3,109,500,4.59,6,166.7
68,Louisiana Tech,3,117,495,4.23,5,165.0
69,Tennessee,3,92,491,5.34,7,163.7
70,Idaho,3,114,490,4.30,4,163.3
71,North Carolina,3,118,488,4.14,10,162.7
72,Oklahoma,3,107,481,4.50,7,160.3
-,Northwestern,3,114,481,4.22,8,160.3
74,Northern Ill.,3,113,479,4.24,3,159.7
75,NC State,3,107,475,4.44,9,158.3
-,Boston College,3,135,475,3.52,0,158.3
77,Central Mich.,3,119,474,3.98,3,158.0
78,Buffalo,3,103,472,4.58,4,157.3
79,Kentucky,3,121,469,3.88,5,156.3
-,Nevada,3,106,469,4.42,2,156.3
81,SMU,3,112,466,4.16,7,155.3
-,Pittsburgh,3,132,466,3.53,5,155.3
83,Ga. Southern,2,104,303,2.91,1,151.5
84,Baylor,3,92,448,4.87,3,149.3
85,Colorado,3,118,446,3.78,4,148.7
86,Iowa St.,3,98,445,4.54,6,148.3
87,UCF,1,45,148,3.29,4,148.0
88,Boise St.,3,120,438,3.65,5,146.0
89,Texas St.,3,125,436,3.49,2,145.3
90,Houston,2,74,288,3.89,4,144.0
91,Nebraska,3,103,419,4.07,6,139.7
92,FIU,2,66,271,4.11,3,135.5
93,Oregon St.,4,120,541,4.51,7,135.3
94,Old Dominion,3,112,397,3.54,4,132.3
95,Washington,3,91,389,4.27,7,129.7
96,Utah St.,3,107,382,3.57,4,127.3
97,Akron,3,102,378,3.71,5,126.0
98,Fresno St.,3,93,375,4.03,4,125.0
99,Texas Tech,2,69,249,3.61,4,124.5
100,South Ala.,3,103,369,3.58,4,123.0
101,UCLA,3,86,365,4.24,6,121.7
102,Eastern Mich.,2,76,240,3.16,2,120.0
103,Miami (OH),3,125,339,2.71,3,113.0
-,San Jose St.,4,150,452,3.01,1,113.0
105,Illinois,3,95,331,3.48,5,110.3
106,Arkansas St.,2,58,219,3.78,1,109.5
107,Kansas,3,91,328,3.60,6,109.3
108,Bowling Green,3,88,324,3.68,1,108.0
109,Marshall,3,83,318,3.83,2,106.0
-,Virginia,3,88,318,3.61,4,106.0
111,Vanderbilt,3,102,310,3.04,4,103.3
112,Cincinnati,3,94,304,3.23,2,101.3
113,New Mexico St.,3,73,301,4.12,2,100.3
114,Georgia St.,2,78,199,2.55,0,99.5
115,Arizona St.,3,115,291,2.53,6,97.0
116,Temple,3,98,283,2.89,1,94.3
117,Florida,2,56,179,3.20,0,89.5
118,Massachusetts,4,136,354,2.60,7,88.5
119,South Carolina,3,81,257,3.17,3,85.7
120,East Carolina,3,93,252,2.71,2,84.0
121,Western Ky.,3,97,247,2.55,7,82.3
122,Wyoming,3,90,241,2.68,2,80.3
123,BYU,4,99,310,3.13,2,77.5
124,Washington St.,3,68,232,3.41,2,77.3
125,Ole Miss,3,76,209,2.75,2,69.7
126,Indiana,2,68,128,1.88,1,64.0
127,Middle Tenn.,3,74,189,2.55,1,63.0
128,Florida St.,1,27,40,1.48,0,40.0
129,UTEP,3,59,116,1.97,3,38.7
